"","ID","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"343",343,14.4499998092651,8.30000019073486,0.827999949455261,23.2999992370605,20.0499992370605,10.0500001907349,10,14.1499996185303,14.75,14.75,14.1499996185303,945,129.100006103516,44.5999984741211,37.4000015258789,318.100006103516,147.899993896484,147.899993896484,249
"344",344,19.9500007629395,6,0.86300003528595,20.2999992370605,23.3500003814697,16.3500003814697,7,19.9500007629395,19.6499996185303,20.1499996185303,19.6499996185303,1406.80004882812,205.199996948242,34.7999992370605,48.5,511.5,128.5,431.899993896484,128.5
"345",345,17.0499992370605,7.19999980926514,0.864000022411346,41,21.4500007629395,13.1499996185303,8.30000019073486,16.6499996185303,17.1499996185303,17.4500007629395,16.4500007629395,5017.89990234375,710.5,90.3000030517578,50.5999984741211,2082.60009765625,429.600006103516,937.700012207031,1956.40002441406
"346",346,13.6499996185303,7.09999990463257,0.827999949455261,20.2000007629395,18.1499996185303,9.55000019073486,8.60000038146973,13.5500001907349,13.3500003814697,13.75,13.3500003814697,2189.10009765625,327.299987792969,53.0999984741211,46.4000015258789,867,209.199996948242,619.299987792969,350.899993896484
"347",347,16.4500007629395,7.19999980926514,0.856000065803528,43.4000015258789,20.8500003814697,12.4499998092651,8.39999961853027,16.0499992370605,16.5499992370605,16.9500007629395,15.75,4713.89990234375,663.099975585938,84.0999984741211,50.5,1953.09997558594,402.799987792969,882,1827.5
"348",348,18.4500007629395,7.69999980926514,0.870000004768372,17,22.8500003814697,14.0500001907349,8.80000019073486,18.25,18.5499992370605,18.6499996185303,18.25,2148.10009765625,272.200012207031,113.400001525879,31.3999996185303,711.200012207031,375.799987792969,622.099975585938,583.5
"349",349,22.75,7.5,0.782000005245209,42.5,27.4500007629395,17.8500003814697,9.60000038146973,22.8500003814697,22.25,23.1499996185303,22.1499996185303,2321.5,351.899993896484,98,41.2000007629395,905.299987792969,345.399993896484,529.700012207031,383.700012207031
"350",350,14.4499998092651,8.5,0.855000019073486,20.6000003814697,19.9500007629395,10.0500001907349,9.89999961853027,14.25,14.5500001907349,14.6499996185303,14.25,999.099975585938,137.300003051758,45,38.2999992370605,342.399993896484,147.100006103516,148.800003051758,272.299987792969
"351",351,18.4500007629395,6.80000019073486,0.864999949932098,25.2999992370605,22.6499996185303,14.75,7.90000009536743,18.1499996185303,18.25,18.75,18.1499996185303,4285.2998046875,526.599975585938,193.699996948242,26.1000003814697,1347.90002441406,715.299987792969,1276.80004882812,1176.19995117188
"352",352,14.0500001907349,7.69999980926514,0.88100004196167,37,18.6499996185303,9.94999980926514,8.69999980926514,13.75,14.1499996185303,14.4499998092651,13.5500001907349,2218.30004882812,301.600006103516,55.2999992370605,44,875,227.699996948242,436.200012207031,822.200012207031
