;locality;stateProvince;occurrenceStatus;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;elevation;eventDate;year;basisOfRecord;institutionCode;collectionCode;issue
3343;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/11/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3344;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/09/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3345;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3346;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3347;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/11/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3348;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/11/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3349;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/03/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3350;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;2018-10;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3351;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3352;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3353;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/08/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3354;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3355;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;2018-10;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3356;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/08/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3357;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/12/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3358;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3359;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3360;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/12/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3361;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3362;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3363;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/09/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3364;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3365;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3366;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3367;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3368;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3369;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3370;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3371;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3372;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/07/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3373;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3374;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3375;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3376;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3377;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3378;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3379;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3380;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3381;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/10/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3382;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/03/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3383;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3384;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3385;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/04/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3386;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3387;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3388;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3389;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3390;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/04/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3391;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3392;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3393;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3394;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3395;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/08/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3396;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/10/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3397;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3398;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3399;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;2018-10;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3400;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3401;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3402;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3403;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/03/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3404;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3405;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;2018-10;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3406;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3407;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/04/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3408;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3409;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3410;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/09/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3411;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3412;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;2019-01;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3413;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/09/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3414;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/11/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3415;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/01/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3416;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3417;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/05/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3418;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3419;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3420;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/07/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3421;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;2019-01;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3422;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/01/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3423;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/05/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3424;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3425;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/01/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3426;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3427;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/10/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3428;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;2019-01;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3429;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/07/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3430;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3431;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3432;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/01/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3433;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3434;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3435;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2014;2014;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3436;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/09/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3437;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3438;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/12/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3439;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3440;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3441;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3442;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;ABSENT;NA;1.610777;-76.104694;NA;NA;01/04/2019;2019;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3443;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3444;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/02/2018;2018;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3445;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2015;2015;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3446;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/03/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3447;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/08/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3448;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/05/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3449;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/11/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3450;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/10/2016;2016;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
3451;Parque Nacional Natural Cueva De Los Guácharos. Cueva de los Guácharos ,cueva grande;Huila;PRESENT;NA;1.610777;-76.104694;NA;NA;01/06/2017;2017;HUMAN_OBSERVATION;Parques Nacionales Naturales de Colombia (PNN);NA;NA
