;locality;stateProvince;occurrenceStatus;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;elevation;eventDate;year;basisOfRecord;institutionCode;collectionCode;issue
6307;Cueva del Condor;Antioquia;PRESENT;100;5.928789;-74.83953;NA;NA;28/07/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6308;Reserva Natural Comunitaria Cerro El Inglés;Valle del Cauca;PRESENT;2;4.741488;-76.296005;NA;NA;01/08/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6309;Reserva Natural Comunitaria Cerro El Inglés;Valle del Cauca;PRESENT;1;4.741488;-76.296005;NA;NA;31/07/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6310;RN Cañon del Río Claro;Antioquia;PRESENT;100;5.89226;-74.855286;NA;NA;12/10/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6311;Jardín Antioquia;Antioquia;PRESENT;5;5.597858;-75.81701;NA;NA;08/07/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6312;Río Villalobos—Via a Descanse;Cauca;PRESENT;10;1.429264;-76.47161;NA;NA;04/08/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6313;RN Cañon del Río Claro;Antioquia;PRESENT;20;5.89226;-74.855286;NA;NA;11/07/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6314;Bosque Bavaria;Meta;PRESENT;1;4.18298;-73.65183;NA;NA;06/07/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6315;RN Cañon del Río Claro;Antioquia;PRESENT;40;5.89226;-74.855286;NA;NA;01/07/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6316;RN San Cipriano-Escalerete;Valle del Cauca;PRESENT;6;3.829627;-76.89197;NA;NA;31/08/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
