"","...1","decimalLatitude","decimalLongitude","bio_01","bio_02","bio_04","bio_12","bio_15","bio_18"
"182",651,5.054239,-75.506814,16.75,8.10000038146973,24.2999992370605,2689.89990234375,37.7000007629395,867
"183",652,4.9825,-75.605261,20.0499992370605,7.40000009536743,22.5,2876.80004882812,26.7999992370605,877
"184",654,5.874532,-74.858557,26.1499996185303,8.69999980926514,60.2000007629395,3178,37,589.299987792969
"185",655,5.763946,-73.956326,20.5499992370605,7.90000009536743,29.1000003814697,2688.5,36.2999992370605,849
"186",658,2.176389,-71.182778,24.75,7,61.4000015258789,2865.60009765625,33.2999992370605,449.5
"187",659,7.425278,-72.443889,12.9499998092651,7.19999980926514,40,2524.80004882812,39.7999992370605,647.599975585938
"188",684,1.616944,-76.100278,15.25,8.19999980926514,64.3000030517578,4552.2998046875,22.2000007629395,1193.30004882812
"189",691,6.4166,-72.45,12.5500001907349,9.5,27.1000003814697,2033.30004882812,41.2999992370605,648.400024414062
"190",692,5.880144,-74.841717,25.75,8.80000019073486,56.4000015258789,3127.19995117188,37.5999984741211,582.099975585938
"191",697,6.247638,-75.565815,19.9500007629395,9,18.2999992370605,1731.80004882812,34.0999984741211,503.200012207031
"192",701,1.3,-78.083333,17.8500003814697,4.09999990463257,28.7000007629395,6553.5,19.5,2944
"193",702,1.566667,-76.95,13.3500003814697,7.59999990463257,22.8999996185303,1863,49,538.599975585938
"194",703,1.533333,-76.933333,9.75,7.5,33.7999992370605,1977.90002441406,43,565.099975585938
"195",704,1.45,-76.933333,8.94999980926514,7.30000019073486,45.9000015258789,1991,29.7000007629395,558.5
"196",705,1.223861,-77.333531,9.35000038146973,7.5,25.6000003814697,2141.39990234375,37.7999992370605,682
"197",706,1.703028,-77.049139,14.75,8,36.4000015258789,2491.5,52.2999992370605,212.899993896484
"198",707,1.45,-78.016667,23.3500003814697,4.30000019073486,32.7999992370605,6131.5,18.3999996185303,1882
"199",711,1.633001,-76.10269,15.3500003814697,8.19999980926514,65.1999969482422,4381.7001953125,22,1150.80004882812
"200",717,6.091825,-75.63565,18.3500003814697,9.10000038146973,19.2999992370605,3008.69995117188,33.0999984741211,626
"201",722,-0.686975,-72.44899,24.3500003814697,6.59999990463257,54.7999992370605,3499.30004882812,22.5,720
"202",726,3.346069,-74.00305,23.9500007629395,8,78.4000015258789,2770.39990234375,44.2999992370605,337.200012207031
"203",728,2.478341,-76.56013,17.9500007629395,7.5,21.7999992370605,2277,46.5,238.600006103516
"204",740,6.21598,-74.95061,22.0499992370605,7.90000009536743,39.7000007629395,4417.2998046875,33.0999984741211,1158.80004882812
"205",745,1.951226,-76.45476,15.3500003814697,6.90000009536743,64.1999969482422,1474.09997558594,28.3999996185303,456.399993896484
"206",746,1.553806,-75.52726,25.3500003814697,7.69999980926514,82.6999969482422,3832.60009765625,41.5999984741211,620.799987792969
"207",751,1.720002,-76.60363,16.4500007629395,7.40000009536743,62.5,1774.09997558594,18.7000007629395,506.899993896484
"208",752,6.083267,-73.83311,12.75,7.19999980926514,27.5,5393,29.7999992370605,1704.59997558594
