gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue;;;;;
3046440890;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:1401;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;11/11/1948;11;11;1948;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;1401;;Yaneth Muñoz Saba;2003-01-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Nicéforo María;;;;;;;
3046440889;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:1403;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;11/11/1948;11;11;1948;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;1403;;Yaneth Muñoz Saba;2003-01-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Nicéforo María;;;;;;;
3046440887;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:1406;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;11/11/1948;11;11;1948;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;1406;;Yaneth Muñoz Saba;2003-01-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Nicéforo María;;;;;;;
3046440885;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:1407;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;11/11/1948;11;11;1948;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;1407;;Yaneth Muñoz Saba;2003-01-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Nicéforo María;;;;;;;
3046440884;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:1408;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;11/11/1948;11;11;1948;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;1408;;Yaneth Muñoz Saba;2003-01-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Nicéforo María;;;;;;;
3046440882;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:1409;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;11/11/1948;11;11;1948;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;1409;;Yaneth Muñoz Saba;2003-01-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Nicéforo María;;;;;;;
3046440844;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:1391;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;11/11/1948;11;11;1948;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;1391;;Yaneth Muñoz Saba;2003-09-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Nicéforo María;;;;;;;
3046440841;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:1392;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;11/11/1948;11;11;1948;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;1392;;Yaneth Muñoz Saba;2003-09-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Nicéforo María;;;;;;;
3046440839;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:1394;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;11/11/1948;11;11;1948;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;1394;;Yaneth Muñoz Saba;2003-09-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Nicéforo María;;;;;;;
3046440837;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:1393;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;11/11/1948;11;11;1948;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;1393;;Yaneth Muñoz Saba;2003-09-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Nicéforo María;;;;;;;
