gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
935789833	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS176742740	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Cueva del Condor	Antioquia	PRESENT	50	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.928789	-74.83953							2011-10-04	4	10	2011	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS176742740				CC_BY_4_0		obsr162387			2025-11-05T07:38:04.455Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
934870059	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS175642144	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Cueva del Condor	Antioquia	PRESENT	60	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.928789	-74.83953							2008-03-02	2	3	2008	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS175642144				CC_BY_4_0		obsr162387			2025-11-05T07:42:02.067Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
900002735	a0b41a13-be91-4800-b72b-cdd9184bf2eb	UNIVALLE:CVA-CV:6627-05414	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis	Humboldt, 1817	CO	Carrera 119 Calle 52, parcelacion Andalucía	Valle del Cauca	PRESENT	1	85be57ed-f187-49c9-b7ff-eaa622e06217	3.350704	-76.509045	1000.0						2006-12-07	7	12	2006	2497150	2497150	PRESERVED_SPECIMEN	Universidad del Valle (UniValle)	CVA-UV	6627-05414				CC0_1_0		Laura Rubio-Rocha			2025-11-05T03:27:48.521Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
900002285	a0b41a13-be91-4800-b72b-cdd9184bf2eb	UNIVALLE:CVA-CV:5391-04199	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis	Humboldt, 1817	CO	4 Km debajo de Italia, Valencia	Chocó	PRESENT	1	85be57ed-f187-49c9-b7ff-eaa622e06217	4.916151	-76.28924	14042.03		340.0	0.0			1985-07-24	24	7	1985	2497150	2497150	PRESERVED_SPECIMEN	Universidad del Valle (UniValle)	CVA-UV	5391-04199				CC0_1_0		Jesús H. Restrepo			2025-11-05T03:27:50.019Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
900002281	a0b41a13-be91-4800-b72b-cdd9184bf2eb	UNIVALLE:CVA-CV:5371-04180	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis	Humboldt, 1817	CO	Barrio Prados de Oriente	Valle del Cauca	PRESENT	1	85be57ed-f187-49c9-b7ff-eaa622e06217	3.432554	-76.514553	461.93						1984-08-25	25	8	1984	2497150	2497150	PRESERVED_SPECIMEN	Universidad del Valle (UniValle)	CVA-UV	5371-04180				CC0_1_0		J. Aldana			2025-11-05T03:27:49.484Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
900002112	a0b41a13-be91-4800-b72b-cdd9184bf2eb	UNIVALLE:CVA-CV:5062-03878	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis	Humboldt, 1817	CO	Estero Chiguero	Valle del Cauca	PRESENT	1	85be57ed-f187-49c9-b7ff-eaa622e06217	3.407253	-77.307772	2058.35		25.0	0.0			1983-08-02	2	8	1983	2497150	2497150	PRESERVED_SPECIMEN	Universidad del Valle (UniValle)	CVA-UV	5062-03878	RF. 17			CC0_1_0		Jesús H. Restrepo			2025-11-05T03:27:50.264Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
900002106	a0b41a13-be91-4800-b72b-cdd9184bf2eb	UNIVALLE:CVA-CV:5061-03877	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis	Humboldt, 1817	CO	Estero Chiguero	Valle del Cauca	PRESENT	1	85be57ed-f187-49c9-b7ff-eaa622e06217	3.407253	-77.307772	2058.35		25.0	0.0			1983-08-02	2	8	1983	2497150	2497150	PRESERVED_SPECIMEN	Universidad del Valle (UniValle)	CVA-UV	5061-03877	RF. 16			CC0_1_0		Jesús H. Restrepo			2025-11-05T03:27:49.468Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
900001288	a0b41a13-be91-4800-b72b-cdd9184bf2eb	UNIVALLE:CVA-CV:3155-02040	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis	Humboldt, 1817	CO	Villa Colombia	Valle del Cauca	PRESENT	1	85be57ed-f187-49c9-b7ff-eaa622e06217	3.449435	-76.500648	768.43		1000.0	0.0			1970-12-03	3	12	1970	2497150	2497150	PRESERVED_SPECIMEN	Universidad del Valle (UniValle)	CVA-UV	3155-02040				CC0_1_0		G. Cataño			2025-11-05T03:27:50.216Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
900001252	a0b41a13-be91-4800-b72b-cdd9184bf2eb	UNIVALLE:CVA-CV:3156-02041	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis	Humboldt, 1817	CO	Cerro de la torre de Televisión	Valle del Cauca	PRESENT	1	85be57ed-f187-49c9-b7ff-eaa622e06217	3.86136	-76.521769	140452.87		1950.0	0.0			1966-08-16	16	8	1966	2497150	2497150	PRESERVED_SPECIMEN	Universidad del Valle (UniValle)	CVA-UV	3156-02041				CC0_1_0		M. Thomas			2025-11-05T03:27:48.245Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
900001039	a0b41a13-be91-4800-b72b-cdd9184bf2eb	UNIVALLE:CVA-CV:1548-01380	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis	Humboldt, 1817	CO	Parque Nacional Natural Cueva de los Guácharos	Huila	PRESENT	1	85be57ed-f187-49c9-b7ff-eaa622e06217	1.598983	-76.113383	7055.16						1962-05-11	11	5	1962	2497150	2497150	PRESERVED_SPECIMEN	Universidad del Valle (UniValle)	CVA-UV	1548-01380	AN.45/CAT. 43			CC0_1_0					2025-11-05T03:27:49.941Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
